# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-17T03:25:04   113268  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.0   37.122537  51.271465  320.0  13.9  239.76 0
2024-03-17T03:25:40   113269  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     145.1   37.122537  51.271465  320.1  13.6  239.76 0
2024-03-17T03:36:31   113270  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.0   53.074700  30.829951  297.0  19.6  0 0
2024-03-17T03:37:05   113271  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     562.3   53.074700  30.829951  297.1  19.0  0 0
2024-03-18T02:57:32   113405  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.6   37.122537  51.271465  319.3  17.4  239.76 0
2024-03-18T02:58:07   113406  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     142.8   37.122537  51.271465  319.3  17.3  239.76 0
2024-03-18T03:09:12   113407  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.1   53.074700  30.829951  296.1  24.6  0 0
2024-03-18T03:09:46   113408  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     568.5   53.074700  30.829951  296.2  24.0  0 0
2024-03-18T03:27:26   113409  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.0   53.074700  30.829951  296.9  20.2  0 0
2024-03-18T03:28:02   113410  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     564.3   53.074700  30.829951  296.9  20.1  0 0
2024-03-18T03:43:24   113411  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.2   53.074700  30.829951  297.6  16.9  0 0
2024-03-18T03:43:58   113412  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     568.4   53.074700  30.829951  297.6  16.7  0 0
2024-11-25T08:26:43   123253  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.0   37.122537  51.271465  320.4  35.7  239.76 0
2024-11-25T08:27:26   123254  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     139.9   37.122537  51.271465  320.2  35.3  239.76 0
2024-11-25T08:32:42   123255  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.0   37.122537  51.271465  320.0  34.5  239.76 0
2024-11-25T08:33:25   123256  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     136.4   37.122537  51.271465  320.0  34.4  239.76 0
2024-11-25T08:39:53   123257  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.0   53.074700  30.829951  295.6  49.0  0 0
2024-11-25T08:40:36   123258  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     563.1   53.074700  30.829951  295.5  48.5  0 0
2024-11-25T08:55:56   123259  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.0   53.074700  30.829951  295.1  45.3  0 0
2024-11-25T08:56:37   123260  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     562.1   53.074700  30.829951  295.1  45.1  0 0
2024-11-25T09:12:08   123261  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.3   53.074700  30.829951  294.9  41.8  0 0
2024-11-25T09:12:50   123262  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     562.4   53.074700  30.829951  294.9  41.6  0 0
2024-11-26T07:11:05   123314  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.2   37.122537  51.271465  326.5  46.0  239.76 0
2024-11-26T07:11:44   123315  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     131.8   37.122537  51.271465  326.0  45.6  239.76 0
2024-11-26T07:16:56   123316  SEQ        Calibration  Cal         RR-Per                    2024-S1-MX-24                   86.2434     8       5.2   37.122537  51.271465  325.5  44.9  239.76 0
2024-11-26T07:17:36   123317  SEQ        Pointing     Map(Az/D)   RR-Per                    2024-S1-MX-24                   86.2434     8     133.9   37.122537  51.271465  325.4  44.8  239.76 0
2024-11-26T07:23:30   123318  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.0   53.074700  30.829951  302.3  64.0  0 0
2024-11-26T07:24:06   123319  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     561.6   53.074700  30.829951  302.0  63.7  0 0
2024-11-26T07:39:41   123320  SEQ        Calibration  Cal         Per-emb-2                 2024-S1-MX-24                   90.9790     7       5.2   53.074700  30.829951  299.7  60.6  0 0
2024-11-26T07:40:23   123321  SEQ        Science      Map(Az/C)   Per-emb-2                 2024-S1-MX-24                   90.9790     7     565.9   53.074700  30.829951  299.6  60.4  0 0
